false_id,group,control_id,design_distance,max_standardized_gap
zh_ja_021,true_friend,true_000957,0.5944687745469398,0.6393785172729675
zh_ja_021,true_friend,true_002419,0.613158173499059,0.6539098472109894
zh_ja_021,true_friend,true_005131,0.6739493898490934,0.5812531975208807
zh_ja_021,true_friend,true_001956,0.7484725693877795,0.7265664969011005
zh_ja_021,true_friend,true_005882,0.7494686606351454,0.6975038370250565
zh_ja_021,true_friend,true_000622,0.7673730113645604,0.6889126808838902
zh_ja_021,true_friend,true_001469,0.8014332625793998,0.7308630366776254
zh_ja_021,true_friend,true_002021,0.8061195246567725,0.730863036677626
zh_ja_021,true_friend,true_004717,0.8225673805782567,0.6684411771490119
zh_ja_021,true_friend,true_004400,0.8497274148974197,0.6889126808838902
zh_ja_021,true_friend,true_002607,0.8567725825005331,0.7584427739107433
zh_ja_021,true_friend,true_002213,0.8774823657475137,0.6975038370250559
zh_ja_021,true_friend,true_005134,0.8864486867234489,0.7271856075996622
zh_ja_021,true_friend,true_004965,0.9290817223355103,0.7860225111438619
zh_ja_021,true_friend,true_004271,0.9496243404888085,0.7992231465912104
zh_ja_021,true_friend,true_002041,0.974621398311627,0.784691816653188
zh_ja_021,true_friend,true_006147,0.975599083436627,0.7654585343154336
zh_ja_021,true_friend,true_004061,1.050405238678379,0.7992231465912104
zh_ja_021,true_friend,true_000394,1.1211844929123482,0.8718797962813215
zh_ja_021,true_friend,true_000698,1.132841689821664,0.7654585343154336
zh_ja_021,true_friend,true_002141,1.1557794574874651,0.8864111262193425
zh_ja_021,true_friend,true_003665,1.1821979463580488,0.8273921169935392
zh_ja_021,true_friend,true_001323,1.4064548604110696,0.8573484663432979
zh_ja_021,true_friend,true_005723,1.5588353146462108,1.0462557555375838
zh_ja_021,true_friend,true_002440,1.58288973364608,0.9057925989399296
zh_ja_021,true_friend,true_005885,1.6526511398948875,1.0078537368486542
zh_ja_021,true_friend,true_001638,1.6724916463704467,1.0171930956615411
zh_ja_021,true_friend,true_005801,1.7348479581893834,1.1043810752896719
zh_ja_021,true_friend,true_005888,1.7525025283043576,1.0333690213258353
zh_ja_021,true_friend,true_004731,1.7554522790509726,1.0171930956615411
zh_ja_021,true_friend,true_002136,1.7711232043497145,1.0461266635644262
zh_ja_021,true_friend,true_001561,1.7954283429691298,1.048030014858483
zh_ja_021,true_friend,true_000792,1.829713031767601,1.089399620708159
zh_ja_021,true_friend,true_002031,1.8440259831483468,1.020611379087245
zh_ja_021,true_friend,true_002521,1.8521425742478987,1.034240146241923
zh_ja_021,true_friend,true_001763,1.8614781154917242,1.0716419480416073
zh_ja_021,true_friend,true_004489,1.9153014987663357,1.0462557555375844
zh_ja_021,true_friend,true_000943,1.98441821164745,1.1043810752896732
zh_ja_021,true_friend,true_005177,2.0792709800194062,1.1189124052276942
zh_ja_021,true_friend,true_004147,2.0869832491311993,1.1859287010240722
zh_ja_021,true_friend,true_003715,2.177771979748056,1.160945443711741
zh_ja_021,true_friend,true_003225,2.1922420784268244,1.1189124052276949
zh_ja_021,true_friend,true_001553,2.233479092110228,1.0753184154136286
zh_ja_021,true_friend,true_001803,2.2352963658648175,1.160945443711741
zh_ja_021,true_friend,true_003236,2.2489576174391854,1.2272983068737482
zh_ja_021,true_friend,true_006453,2.2755162887631255,1.2206317147938488
zh_ja_021,true_friend,true_004691,2.407526614015274,1.1481878014731501
zh_ja_021,true_friend,true_005669,2.450734443779448,1.264225704607915
zh_ja_021,true_friend,true_004118,2.531495345553096,1.2247336549046934
zh_ja_021,true_friend,true_002015,2.536902728600832,1.336882354298025
zh_ja_021,true_friend,true_002617,2.5453400343195156,1.2787570345459363
zh_ja_021,true_friend,true_000568,2.582867248542058,1.278757034545937
zh_ja_021,true_friend,true_006451,2.682337648017543,1.2885218660976467
zh_ja_021,true_friend,true_001482,2.708462308096063,1.2502489393818748
zh_ja_021,true_friend,true_002400,2.7107395307402795,1.351413684236046
