pair,model,prompt_mode,wrapper,normalization,comparison,n,estimate,ci_low,ci_high,positive_rate
zh_ja,gemma3_12b,chat,refers,mean,masked_minus_shuffled,27,1.8145756721496582,1.4691500800627249,2.1841951158311628,1.0
zh_ja,gemma3_12b,chat,refers,sum,full_minus_language_only,27,6.260076734754774,3.715779721295392,8.885526395727087,0.8518518518518519
zh_ja,gemma3_12b,chat,refers,sum,full_minus_shuffled,27,13.362187703450521,10.661920247254548,16.335665678094934,1.0
zh_ja,gemma3_12b,chat,refers,sum,masked_minus_shuffled,27,10.578909273500797,8.389724523049814,12.879281669192844,0.9629629629629629
zh_ja,gemma3_12b,plain,bare,mean,full_minus_language_only,27,-0.11475246923941153,-0.6259174426396688,0.46456303066677496,0.4444444444444444
zh_ja,gemma3_12b,plain,bare,mean,full_minus_shuffled,27,0.43567810235200105,-0.019075683531937775,0.9079854658356417,0.5555555555555556
zh_ja,gemma3_12b,plain,bare,mean,masked_minus_shuffled,27,0.24796525637308756,-0.20331976678636338,0.6689198796395898,0.6666666666666666
zh_ja,gemma3_12b,plain,bare,sum,full_minus_language_only,27,-0.1762550053773103,-1.304405919048521,1.0715472168392604,0.48148148148148145
zh_ja,gemma3_12b,plain,bare,sum,full_minus_shuffled,27,0.8645186865771258,-0.3034725337116806,2.02491663208714,0.6666666666666666
zh_ja,gemma3_12b,plain,bare,sum,masked_minus_shuffled,27,0.745195088563142,-0.2705881158510844,1.6591109134532787,0.6296296296296297
zh_ja,gemma3_12b,plain,definition,mean,full_minus_language_only,27,0.0012011616318314165,-0.14984629419114853,0.16683866955615842,0.48148148148148145
zh_ja,gemma3_12b,plain,definition,mean,full_minus_shuffled,27,0.22133678860134548,0.08360927347783689,0.36782820600050453,0.7407407407407407
zh_ja,gemma3_12b,plain,definition,mean,masked_minus_shuffled,27,0.06043060620625814,-0.10269683930608961,0.22045702691431376,0.6296296296296297
zh_ja,gemma3_12b,plain,definition,sum,full_minus_language_only,27,-0.3009038501315647,-1.1269339402516683,0.6126625255302118,0.4074074074074074
