pair,model,dose,lag,normalization,comparison,n_items,estimate,ci_low,ci_high,negative_rate
id_tl,qwen25_7b,8,8,mean,wrong_exact_minus_surface,33,0.4653717336031233,-1.052233038269724,2.1996934416058593,0.5454545454545454
id_tl,qwen25_7b,8,8,mean,wrong_exact_minus_masked,33,-0.4426615205016844,-1.5215649475537363,0.6678500291051794,0.5757575757575758
id_tl,qwen25_7b,8,8,mean,wrong_masked_minus_language,33,-1.6681979611078563,-3.3533006346366503,-0.31092838896791464,0.5151515151515151
id_tl,qwen25_7b,8,8,mean,correct_exact_minus_language,33,10.108744506727707,7.648107977108024,12.905268588009688,0.0
id_tl,qwen25_7b,8,8,sum,wrong_exact_minus_language,33,-2.7151350949272017,-4.647464605583074,-0.9204040827229849,0.696969696969697
id_tl,qwen25_7b,8,8,sum,wrong_exact_minus_surface,33,0.6069535541811836,-1.4020531627478539,2.7866289694392576,0.5454545454545454
id_tl,qwen25_7b,8,8,sum,wrong_exact_minus_masked,33,-0.9787960202477486,-1.9496823879101914,-0.004361844225787238,0.6363636363636364
id_tl,qwen25_7b,8,8,sum,wrong_masked_minus_language,33,-1.7363390746794531,-3.658234510990213,-0.09469788800148946,0.5454545454545454
id_tl,qwen25_7b,8,8,sum,correct_exact_minus_language,33,12.67870035611982,9.411374470244327,16.06025445737548,0.09090909090909091
id_tl,qwen3_8b,1,0,mean,wrong_exact_minus_language,33,-0.5004932374665232,-1.033819211251808,0.011816207567850099,0.6666666666666666
id_tl,qwen3_8b,1,0,mean,wrong_exact_minus_surface,33,-0.30418474023992365,-0.7056952447602243,0.095780914841276,0.6060606060606061
id_tl,qwen3_8b,1,0,mean,wrong_exact_minus_masked,33,-0.0629376642631762,-0.2996904463479013,0.1641302470004918,0.42424242424242425
id_tl,qwen3_8b,1,0,mean,wrong_masked_minus_language,33,-0.4375555732033469,-0.9812610525073427,0.03881729624488108,0.6060606060606061
id_tl,qwen3_8b,1,0,mean,correct_exact_minus_language,33,0.4791216127800219,-0.20548932082725294,1.1719728296453296,0.45454545454545453
id_tl,qwen3_8b,1,0,sum,wrong_exact_minus_language,33,-0.9892094930013021,-2.0181493499062277,-0.04534730911254907,0.6666666666666666
id_tl,qwen3_8b,1,0,sum,wrong_exact_minus_surface,33,-0.5979358210708156,-1.484528735189727,0.2971670439749045,0.6363636363636364
id_tl,qwen3_8b,1,0,sum,wrong_exact_minus_masked,33,-0.12239964803059895,-0.5482660524772874,0.26566935597044045,0.45454545454545453
id_tl,qwen3_8b,1,0,sum,wrong_masked_minus_language,33,-0.8668098449707031,-1.8137464552214653,-0.01866250182643094,0.6666666666666666
id_tl,qwen3_8b,1,0,sum,correct_exact_minus_language,33,1.2040498328931404,-0.17801869710286455,2.6623728246399847,0.3939393939393939
id_tl,qwen3_8b,1,2,mean,wrong_exact_minus_language,33,-0.5066998655145819,-0.9506801399317655,-0.09407671473243047,0.5757575757575758
id_tl,qwen3_8b,1,2,mean,wrong_exact_minus_surface,33,-0.41208301890980115,-1.0486291751717076,0.2266012921477809,0.6060606060606061
id_tl,qwen3_8b,1,2,mean,wrong_exact_minus_masked,33,-0.3489964658563787,-0.6315188487370809,-0.06637148206884234,0.6363636363636364
id_tl,qwen3_8b,1,2,mean,wrong_masked_minus_language,33,-0.15770339965820312,-0.5621054764949914,0.2220769354791347,0.5151515151515151
id_tl,qwen3_8b,1,2,mean,correct_exact_minus_language,33,2.0769532521565757,1.1475090073816705,3.0172760078401275,0.21212121212121213
id_tl,qwen3_8b,1,2,sum,wrong_exact_minus_language,33,-0.7093405868067886,-1.4756503300233321,0.04784236532269065,0.6060606060606061
id_tl,qwen3_8b,1,2,sum,wrong_exact_minus_surface,33,-0.8045659498734907,-1.660473836552013,0.02062872973355355,0.6666666666666666
id_tl,qwen3_8b,1,2,sum,wrong_exact_minus_masked,33,-0.5570659059466738,-1.1130426919821537,-0.02894782514283154,0.6363636363636364
id_tl,qwen3_8b,1,2,sum,wrong_masked_minus_language,33,-0.1522746808601148,-0.8380368015982889,0.4753189896092266,0.5151515151515151
id_tl,qwen3_8b,1,2,sum,correct_exact_minus_language,33,2.9742473255504263,1.398093860799616,4.634335146528301,0.21212121212121213
id_tl,qwen3_8b,1,8,mean,wrong_exact_minus_language,33,-0.5410197431390936,-0.997752701513695,-0.11113666548873471,0.6363636363636364
id_tl,qwen3_8b,1,8,mean,wrong_exact_minus_surface,33,-0.14828817772142816,-0.6364623499639106,0.3416361830451267,0.5757575757575758
id_tl,qwen3_8b,1,8,mean,wrong_exact_minus_masked,33,-0.388140057072495,-0.7465158971873197,-0.020034327651515305,0.6363636363636364
id_tl,qwen3_8b,1,8,mean,wrong_masked_minus_language,33,-0.1528796860665986,-0.5049844557588751,0.19574119394475745,0.5757575757575758
id_tl,qwen3_8b,1,8,mean,correct_exact_minus_language,33,2.464982538512259,1.5546746640494375,3.43744538155469,0.15151515151515152
id_tl,qwen3_8b,1,8,sum,wrong_exact_minus_language,33,-0.7066614555590081,-1.556234400922602,0.20086545366229408,0.6666666666666666
id_tl,qwen3_8b,1,8,sum,wrong_exact_minus_surface,33,-0.4489961970936168,-1.2148837826468728,0.33582109393495446,0.6363636363636364
