pair,model,prompt_mode,condition,wrapper,normalization,effect,n,estimate,ci_low,ci_high,positive_rate
id_tl,gemma3_12b,chat,full,refers,mean,interaction,33,-0.13849605213512073,-1.0010366201400756,0.6435672405994295,0.48484848484848486
id_tl,gemma3_12b,chat,full,refers,mean,diagonal_switch,33,4.2278242978182705,3.5548593593366222,4.922315460262876,0.9696969696969697
id_tl,gemma3_12b,chat,full,refers,mean,midpoint,33,-0.09020626183712122,-0.9515653483795397,0.8237644545959697,0.48484848484848486
id_tl,gemma3_12b,chat,full,refers,sum,semantic,33,13.979554956609553,11.002331086361048,16.956597490021675,0.9696969696969697
id_tl,gemma3_12b,chat,full,refers,sum,language,33,8.149075016830906,6.1621687715703795,10.254345662666088,0.9090909090909091
id_tl,gemma3_12b,chat,full,refers,sum,interaction,33,-0.3639311356977983,-4.871020762125651,4.105095759305081,0.48484848484848486
id_tl,gemma3_12b,chat,full,refers,sum,diagonal_switch,33,22.12862997344046,18.970892010313094,25.31891523996989,1.0
id_tl,gemma3_12b,chat,full,refers,sum,midpoint,33,-1.268754785711115,-4.826368693149451,2.919880664709833,0.45454545454545453
id_tl,gemma3_12b,chat,language_only,bare,mean,semantic,33,0.0018405625314423532,-0.038732110370289195,0.03677104819904674,0.21212121212121213
id_tl,gemma3_12b,chat,language_only,bare,mean,language,33,3.1887248646129263,1.7714181957822859,4.677622010491111,0.8484848484848485
id_tl,gemma3_12b,chat,language_only,bare,mean,interaction,33,0.0036811250628847065,-0.07302340305212772,0.07651966846350461,0.21212121212121213
id_tl,gemma3_12b,chat,language_only,bare,mean,diagonal_switch,33,3.1905654271443686,1.7840048789978027,4.71092864889087,0.8484848484848485
id_tl,gemma3_12b,chat,language_only,bare,mean,midpoint,33,1.3728511839201956,-5.809747264240727,8.3021239175941,0.5151515151515151
id_tl,gemma3_12b,chat,language_only,bare,sum,semantic,33,-0.03008183566006747,-0.06691594990816983,0.005374578996138128,0.12121212121212122
id_tl,gemma3_12b,chat,language_only,bare,sum,language,33,3.8803439862800366,0.5224989341967035,7.042374412941208,0.8181818181818182
id_tl,gemma3_12b,chat,language_only,bare,sum,interaction,33,-0.06016367132013494,-0.1357903682824337,0.00886725223425661,0.12121212121212122
id_tl,gemma3_12b,chat,language_only,bare,sum,diagonal_switch,33,3.8502621506199692,0.39039310397523835,7.09392410625111,0.8181818181818182
id_tl,gemma3_12b,chat,language_only,bare,sum,midpoint,33,-5.355076240770744,-10.327433175751658,0.03327840602759028,0.36363636363636365
id_tl,gemma3_12b,chat,language_only,definition,mean,semantic,33,0.0025177001953125,-0.0019702131097966975,0.0074197350126324274,0.2727272727272727
id_tl,gemma3_12b,chat,language_only,definition,mean,language,33,2.70891758889863,2.08248322949265,3.3738480972521225,0.9393939393939394
id_tl,gemma3_12b,chat,language_only,definition,mean,interaction,33,0.005035400390625,-0.003657452265421549,0.015063662962480025,0.2727272727272727
id_tl,gemma3_12b,chat,language_only,definition,mean,diagonal_switch,33,2.7114352890939424,2.098229912555579,3.3442585128726376,0.9393939393939394
id_tl,gemma3_12b,chat,language_only,definition,mean,midpoint,33,-0.18035234104503284,-1.1042481830625823,0.8783462806181463,0.3333333333333333
id_tl,gemma3_12b,chat,language_only,definition,sum,semantic,33,0.010342569062204071,-0.0054549188324899385,0.027735773722330697,0.30303030303030304
id_tl,gemma3_12b,chat,language_only,definition,sum,language,33,11.44640639334014,8.716256835243918,14.18895589944088,0.9393939393939394
id_tl,gemma3_12b,chat,language_only,definition,sum,interaction,33,0.020685138124408142,-0.012241831692782314,0.05654573151559538,0.30303030303030304
id_tl,gemma3_12b,chat,language_only,definition,sum,diagonal_switch,33,11.456748962402344,8.744036946152196,14.32622170303807,0.9393939393939394
id_tl,gemma3_12b,chat,language_only,definition,sum,midpoint,33,-1.9401463595303623,-5.406297279126716,1.8343001307863118,0.3333333333333333
id_tl,gemma3_12b,chat,language_only,refers,mean,semantic,33,0.0,0.0,0.0,0.0
id_tl,gemma3_12b,chat,language_only,refers,mean,language,33,2.658729755517208,2.1246333693013044,3.2080049247452704,0.9393939393939394
id_tl,gemma3_12b,chat,language_only,refers,mean,interaction,33,0.0,0.0,0.0,0.0
id_tl,gemma3_12b,chat,language_only,refers,mean,diagonal_switch,33,2.658729755517208,2.11695371613358,3.1941222768841366,0.9393939393939394
id_tl,gemma3_12b,chat,language_only,refers,mean,midpoint,33,-0.09410194917158647,-0.8756186033740189,0.7328906890117755,0.45454545454545453
id_tl,gemma3_12b,chat,language_only,refers,sum,semantic,33,0.0,0.0,0.0,0.0
id_tl,gemma3_12b,chat,language_only,refers,sum,language,33,13.770302281235203,11.121435876326126,16.523332104538426,0.9393939393939394
id_tl,gemma3_12b,chat,language_only,refers,sum,interaction,33,0.0,0.0,0.0,0.0
id_tl,gemma3_12b,chat,language_only,refers,sum,diagonal_switch,33,13.770302281235203,11.056850375551166,16.36637914253004,0.9393939393939394
id_tl,gemma3_12b,chat,language_only,refers,sum,midpoint,33,-1.6305455294522373,-4.790417965975674,1.616762146805272,0.45454545454545453
id_tl,gemma3_12b,chat,masked,bare,mean,semantic,33,3.3263599655844946,2.018862932739836,4.771540165669986,0.8484848484848485
id_tl,gemma3_12b,chat,masked,bare,mean,language,33,-0.34161939042987244,-1.533360148198677,0.885121832471905,0.45454545454545453
id_tl,gemma3_12b,chat,masked,bare,mean,interaction,33,1.629742564577045,0.07107511216943914,3.0881748864144956,0.696969696969697
