pair,model,prompt_mode,wrapper,normalization,calibration,l1_accuracy,l2_accuracy,both_accuracy,stingray_bias,stingray_comprehension
zh_ja,qwen25_7b,plain,refers,sum,raw,0.8518518518518519,0.7407407407407407,0.5925925925925926,-0.088686957742884,0.7982319282315667
zh_ja,qwen25_7b,plain,refers,sum,content_free_calibrated,0.5555555555555556,0.9259259259259259,0.5185185185185185,0.3119165215094774,0.7635380788180852
zh_ja,qwen3_8b,chat,bare,mean,raw,0.5925925925925926,0.4444444444444444,0.037037037037037035,-0.1806689412034662,0.523782800878924
zh_ja,qwen3_8b,chat,bare,mean,content_free_calibrated,0.6666666666666666,0.7037037037037037,0.4074074074074074,0.03440350442173273,0.6854353897526573
zh_ja,qwen3_8b,chat,bare,sum,raw,0.5925925925925926,0.5555555555555556,0.14814814814814814,-0.041058005910990944,0.5743726821952156
zh_ja,qwen3_8b,chat,bare,sum,content_free_calibrated,0.6666666666666666,0.7407407407407407,0.4444444444444444,0.06695083342629646,0.7046776885348313
zh_ja,qwen3_8b,chat,definition,mean,raw,0.6666666666666666,0.48148148148148145,0.14814814814814814,-0.2036077121271491,0.581493276596577
zh_ja,qwen3_8b,chat,definition,mean,content_free_calibrated,0.7407407407407407,0.8518518518518519,0.5925925925925926,0.08868695774288415,0.7982319282315667
zh_ja,qwen3_8b,chat,definition,sum,raw,0.8518518518518519,0.5185185185185185,0.37037037037037035,-0.3038068251599075,0.7051641764688803
zh_ja,qwen3_8b,chat,definition,sum,content_free_calibrated,0.7777777777777778,0.8518518518518519,0.6296296296296297,0.0578347156111069,0.8156561313164903
zh_ja,qwen3_8b,chat,refers,mean,raw,0.6666666666666666,0.5925925925925926,0.25925925925925924,-0.07481023696510665,0.6307180135528296
zh_ja,qwen3_8b,chat,refers,mean,content_free_calibrated,0.9259259259259259,1.0,0.9259259259259259,0.04894662581701791,0.9636749504635324
zh_ja,qwen3_8b,chat,refers,sum,raw,0.7407407407407407,0.6666666666666666,0.4074074074074074,-0.06695083342629646,0.7046776885348313
zh_ja,qwen3_8b,chat,refers,sum,content_free_calibrated,0.9259259259259259,1.0,0.9259259259259259,0.04894662581701791,0.9636749504635324
zh_ja,qwen3_8b,plain,bare,mean,raw,0.8148148148148148,0.4074074074074074,0.2222222222222222,-0.4096655293982669,0.6441676715157809
zh_ja,qwen3_8b,plain,bare,mean,content_free_calibrated,0.6296296296296297,0.8148148148148148,0.4444444444444444,0.16235021185135168,0.7281334537532407
zh_ja,qwen3_8b,plain,bare,sum,raw,0.8888888888888888,0.4444444444444444,0.3333333333333333,-0.4096655293982669,0.7027283689263064
zh_ja,qwen3_8b,plain,bare,sum,content_free_calibrated,0.6666666666666666,0.9259259259259259,0.5925925925925926,0.2054691721236279,0.8067785522515541
zh_ja,qwen3_8b,plain,definition,mean,raw,0.9259259259259259,0.5925925925925926,0.5185185185185185,-0.27512793175127065,0.7773367356227909
zh_ja,qwen3_8b,plain,definition,mean,content_free_calibrated,0.8888888888888888,0.9629629629629629,0.8518518518518519,0.050902445391967414,0.9266663706071705
